Account Name,Record Type,Record Type ID,Agriculture Type,Industry,Billing Street,Billing City,Billing State,Billing Postal Code,Billing Country,Phone,Website,Annual Revenue,Number of Employees,Description,Rating,Customer Priority,SLA,Upsell Opportunity,Active,Created Date,Last Activity Date,Billing Latitude,Billing Longitude
Plains Enterprises,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,875 Pine St,City1,Minnesota,45937,United States,(319) 662-7990,www.plainsenterprises.com,44137682,309,Leading machinery parts serving the Minnesota region,Cold,High,Gold,No,Yes,2024-11-05,2025-06-07,36.111871,-72.488762
Southern Inc.,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,4727 Washington Ln,City2,Tennessee,13507,United States,(515) 272-5705,www.southerninc.com,42165025,231,Leading fertilizer supplier serving the Tennessee region,Hot,Medium,Bronze,Yes,Yes,2022-09-02,2025-05-18,27.842601,-79.651832
Harvest Enterprises,Distributor,012KY0000001OFdYAM,Livestock Equipment,Agriculture,3835 Madison Blvd,City3,Nebraska,63828,United States,(641) 529-1865,www.harvestenterprises.com,13175865,211,Leading livestock equipment serving the Nebraska region,Hot,Medium,Bronze,Yes,Yes,2025-04-13,2025-06-09,34.687372,-85.995621
Farm Supply Co.,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,5572 Madison Rd,City4,South Carolina,63746,United States,(319) 373-5468,www.farmsupplyco.com,15858504,195,Leading equipment dealer serving the South Carolina region,Cold,Low,Bronze,Maybe,Yes,2025-01-28,2025-07-20,27.76855,-113.22815
Grain Solutions,Distributor,012KY0000001OFdYAM,Grain Handler,Agriculture,5452 Polk Way,City5,Arizona,79002,United States,(641) 953-5766,www.grainsolutions.com,12716418,245,Leading grain handler serving the Arizona region,Hot,High,Gold,No,Yes,2025-01-20,2025-07-23,30.932589,-71.146934
Crop Supply Co.,Distributor,012KY0000001OFdYAM,Organic Products,Agriculture,3958 Harrison Ave,City6,Wisconsin,75588,United States,(319) 699-6092,www.cropsupplyco.com,6411304,213,Leading organic products serving the Wisconsin region,Cold,High,Bronze,Yes,Yes,2025-01-11,2025-06-28,28.958951,-94.022508
Prairie Enterprises,Distributor,012KY0000001OFdYAM,Livestock Equipment,Agriculture,7608 Van Buren Blvd,City7,Arizona,71596,United States,(563) 945-8433,www.prairieenterprises.com,17015609,17,Leading livestock equipment serving the Arizona region,Warm,Low,Bronze,No,Yes,2023-07-19,2025-06-27,35.968279,-94.964423
Plains LLC,Distributor,012KY0000001OFdYAM,Precision Agriculture,Agriculture,8815 Elm Blvd,City8,Utah,48167,United States,(641) 463-6985,www.plainsllc.com,38598314,480,Leading precision agriculture serving the Utah region,Cold,Low,Silver,Yes,Yes,2024-04-04,2025-06-19,31.494083,-115.665426
River Distributors,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,3615 Jefferson Way,City9,Kansas,78159,United States,(319) 372-2851,www.riverdistributors.com,4118519,94,Leading machinery parts serving the Kansas region,Hot,Medium,Silver,No,Yes,2024-01-30,2025-07-16,30.820484,-66.023083
Grow Inc.,Distributor,012KY0000001OFdYAM,Precision Agriculture,Agriculture,1664 Jackson Rd,City10,Wisconsin,45992,United States,(641) 928-6140,www.growinc.com,19467720,301,Leading precision agriculture serving the Wisconsin region,Hot,Medium,Gold,No,Yes,2023-11-30,2025-06-02,34.640554,-102.670556
Prairie Company,Distributor,012KY0000001OFdYAM,Organic Products,Agriculture,333 Elm Dr,City11,Washington,31939,United States,(515) 838-7159,www.prairiecompany.com,44893117,210,Leading organic products serving the Washington region,Cold,Medium,Bronze,Maybe,Yes,2024-07-24,2025-07-06,33.987703,-112.569832
Prairie Solutions,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,1788 Monroe Way,City12,Georgia,97945,United States,(712) 927-1580,www.prairiesolutions.com,37503370,66,Leading machinery parts serving the Georgia region,Hot,High,Gold,Yes,Yes,2024-10-11,2025-07-10,38.606256,-92.456069
Crop Partners,Distributor,012KY0000001OFdYAM,Livestock Equipment,Agriculture,3755 Pine Blvd,Bakersfield,California,96402,United States,(712) 204-9068,www.croppartners.com,3535713,81,Leading livestock equipment serving the California region,Cold,Medium,Bronze,No,Yes,2023-01-02,2025-05-03,35.413257,-119.058317
Plains Services,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,7887 Elm Rd,City14,Georgia,12823,United States,(515) 857-6785,www.plainsservices.com,10049909,76,Leading seed distributor serving the Georgia region,Hot,Medium,Gold,Maybe,Yes,2023-04-17,2025-06-24,42.685571,-116.085278
Southern Distributors,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,8662 Lincoln Blvd,City15,Michigan,61266,United States,(319) 271-4139,www.southerndistributors.com,8926811,73,Leading machinery parts serving the Michigan region,Hot,Medium,Gold,No,Yes,2025-06-01,2025-05-11,35.347447,-66.958247
Southern Inc.,Distributor,012KY0000001OFdYAM,Feed Supplier,Agriculture,3655 Lincoln Ln,City16,South Dakota,71543,United States,(712) 542-1453,www.southerninc.com,37742718,105,Leading feed supplier serving the South Dakota region,Warm,High,Gold,Maybe,Yes,2023-08-15,2025-07-22,30.047136,-101.368486
Valley Company,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,2701 Washington St,City17,Missouri,91842,United States,(712) 716-8161,www.valleycompany.com,4758610,436,Leading fertilizer supplier serving the Missouri region,Hot,Low,Silver,Yes,Yes,2023-08-25,2025-05-20,31.281693,-118.653453
Western LLC,Distributor,012KY0000001OFdYAM,Precision Agriculture,Agriculture,4530 Adams Rd,City18,Kentucky,63714,United States,(515) 577-5615,www.westernllc.com,9309282,40,Leading precision agriculture serving the Kentucky region,Hot,Low,Gold,No,Yes,2022-08-10,2025-07-15,34.026438,-95.291805
